Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
CogComp,QALD,"0,2894","0,1960","0,2136","0,2894","4,6286","37,3175",0,"0,1344","0,1648","0,2221","0,1344",1
CogComp,QALD+CogComp,"0,9244","0,9239","0,9254","0,9244","4,5899","332,5695",1,"0,0055","0,0060","0,0057","0,0055",2
CogComp,QALD+CogComp+SimpleQuestions,"0,9161","0,9155","0,9186","0,9161","4,6117","3584,8982",1,"0,0041","0,0031","0,0022","0,0041",3
CogComp,QALD+CogComp+WebQuestions,"0,9202","0,9200","0,9223","0,9202","4,5808","565,2780",1,"0,0087","0,0086","0,0068","0,0087",3
CogComp,QALD+CogComp+WebQuestions+SimpleQuestions,"0,9109","0,9107","0,9135","0,9109","4,5654","3813,6595",1,"0,0117","0,0114","0,0107","0,0117",4
CogComp,QALD+SimpleQuestions,"0,5309","0,5158","0,6284","0,5309","4,6136","3282,3438",0,"0,0140","0,0122","0,0124","0,0140",2
CogComp,QALD+WebQuestions,"0,5903","0,5861","0,6389","0,5903","4,5851","274,3031",0,"0,0187","0,0180","0,0195","0,0187",2
CogComp,QALD+WebQuestions+SimpleQuestions,"0,5909","0,5754","0,6506","0,5909","4,5888","3513,1459",0,"0,0075","0,0118","0,0128","0,0075",3
CogComp,SimpleQuestions,"0,3287","0,2548","0,2927","0,3287","4,6255","3254,9363",0,"0,0635","0,0519","0,0105","0,0635",1
CogComp,WebQuestions,"0,5365","0,5243","0,6324","0,5365","4,6730","244,8167",0,"0,0160","0,0186","0,0201","0,0160",1
CogComp,WebQuestions+SimpleQuestions,"0,5185","0,5063","0,6317","0,5185","4,6166","3484,6806",0,"0,0299","0,0195","0,0175","0,0299",2
LC-QuAD,CogComp,"0,5649","0,4878","0,4724","0,5649","3,4946","302,7313",0,"0,0081","0,0051","0,0042","0,0081",1
LC-QuAD,CogComp+SimpleQuestions,"0,6035","0,5426","0,5230","0,6035","3,5042","3539,7991",0,"0,0120","0,0143","0,0163","0,0120",2
LC-QuAD,CogComp+WebQuestions,"0,5887","0,5213","0,4933","0,5887","3,4979","535,0952",0,"0,0094","0,0068","0,0077","0,0094",2
LC-QuAD,CogComp+WebQuestions+SimpleQuestions,"0,6013","0,5400","0,5199","0,6013","3,5016","3778,3870",0,"0,0227","0,0157","0,0118","0,0227",3
LC-QuAD,LC-QuAD,"0,8883","0,8755","0,8704","0,8883","3,5811","158,1254",1,"0,0106","0,0139","0,0175","0,0106",1
LC-QuAD,LC-QuAD+CogComp,"0,8814","0,8724","0,8667","0,8814","3,4995","447,6180",1,"0,0032","0,0052","0,0084","0,0032",2
LC-QuAD,LC-QuAD+CogComp+SimpleQuestions,"0,8922","0,8833","0,8773","0,8922","3,4867","3679,8196",1,"0,0047","0,0034","0,0039","0,0047",3
LC-QuAD,LC-QuAD+CogComp+WebQuestions,"0,8792","0,8702","0,8661","0,8792","3,6020","679,8727",1,"0,0101","0,0086","0,0089","0,0101",3
LC-QuAD,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8887","0,8809","0,8762","0,8887","3,5245","3926,4067",1,"0,0069","0,0073","0,0076","0,0069",4
LC-QuAD,LC-QuAD+QALD,"0,8931","0,8828","0,8791","0,8931","3,4863","189,2148",1,"0,0056","0,0039","0,0020","0,0056",2
LC-QuAD,LC-QuAD+QALD+CogComp,"0,8818","0,8716","0,8640","0,8818","3,4890","477,5378",1,"0,0069","0,0069","0,0080","0,0069",3
LC-QuAD,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8874","0,8776","0,8714","0,8874","3,5153","3722,5693",1,"0,0031","0,0035","0,0055","0,0031",4
LC-QuAD,LC-QuAD+QALD+CogComp+WebQuestions,"0,8827","0,8743","0,8690","0,8827","3,5834","713,0478",1,"0,0047","0,0024","0,0012","0,0047",4
LC-QuAD,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8952","0,8870","0,8846","0,8952","3,4991","3946,8700",1,"0,0069","0,0066","0,0088","0,0069",5
LC-QuAD,LC-QuAD+QALD+SimpleQuestions,"0,8987","0,8908","0,8907","0,8987","3,5338","3420,0159",1,"0,0101","0,0106","0,0164","0,0101",3
LC-QuAD,LC-QuAD+QALD+WebQuestions,"0,8900","0,8827","0,8802","0,8900","4,3998","420,1133",1,"0,0044","0,0043","0,0058","0,0044",3
LC-QuAD,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,8931","0,8852","0,8812","0,8931","3,5812","3660,0199",1,"0,0033","0,0024","0,0052","0,0033",4
LC-QuAD,LC-QuAD+SimpleQuestions,"0,8900","0,8812","0,8780","0,8900","4,1636","3384,1846",1,"0,0077","0,0058","0,0031","0,0077",2
LC-QuAD,LC-QuAD+WebQuestions,"0,8866","0,8824","0,8833","0,8866","3,5038","390,2389",1,"0,0095","0,0101","0,0114","0,0095",2
LC-QuAD,LC-QuAD+WebQuestions+SimpleQuestions,"0,8952","0,8874","0,8829","0,8952","3,5090","3640,6518",1,"0,0056","0,0058","0,0080","0,0056",3
LC-QuAD,QALD,"0,3835","0,3004","0,3045","0,3835","3,5218","37,3175",0,"0,2269","0,2785","0,3205","0,2269",1
LC-QuAD,QALD+CogComp,"0,7641","0,7470","0,7601","0,7641","3,5109","332,5695",0,"0,0120","0,0096","0,0150","0,0120",2
LC-QuAD,QALD+CogComp+SimpleQuestions,"0,7952","0,7915","0,8050","0,7952","3,5160","3584,8982",0,"0,0085","0,0105","0,0114","0,0085",3
LC-QuAD,QALD+CogComp+WebQuestions,"0,7693","0,7599","0,7719","0,7693","3,5053","565,2780",0,"0,0056","0,0069","0,0103","0,0056",3
LC-QuAD,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8017","0,7958","0,8058","0,8017","3,4893","3813,6595",0,"0,0054","0,0052","0,0046","0,0054",4
LC-QuAD,QALD+SimpleQuestions,"0,8035","0,8008","0,8181","0,8035","3,6606","3282,3438",0,"0,0145","0,0119","0,0063","0,0145",2
LC-QuAD,QALD+WebQuestions,"0,7848","0,7957","0,8214","0,7848","3,4936","274,3031",0,"0,0207","0,0154","0,0114","0,0207",2
LC-QuAD,QALD+WebQuestions+SimpleQuestions,"0,8165","0,8178","0,8306","0,8165","3,5194","3513,1459",0,"0,0174","0,0129","0,0056","0,0174",3
LC-QuAD,SimpleQuestions,"0,3623","0,2604","0,2498","0,3623","3,5036","3254,9363",0,"0,0328","0,0266","0,0183","0,0328",1
LC-QuAD,WebQuestions,"0,5043","0,4748","0,5358","0,5043","4,1771","244,8167",0,"0,0618","0,0627","0,0164","0,0618",1
LC-QuAD,WebQuestions+SimpleQuestions,"0,5632","0,5285","0,5581","0,5632","3,5144","3484,6806",0,"0,0565","0,0464","0,0110","0,0565",2
QALD,CogComp,"0,7305","0,7216","0,8013","0,7305","0,5390","302,7313",0,"0,0219","0,0225","0,0226","0,0219",1
QALD,CogComp+SimpleQuestions,"0,7376","0,7225","0,7816","0,7376","0,5329","3539,7991",0,"0,0235","0,0236","0,0228","0,0235",2
QALD,CogComp+WebQuestions,"0,7660","0,7464","0,8316","0,7660","0,5374","535,0952",0,"0,0071","0,0060","0,0176","0,0071",2
QALD,CogComp+WebQuestions+SimpleQuestions,"0,7333","0,7169","0,7768","0,7333","0,5395","3778,3870",0,"0,0303","0,0268","0,0190","0,0303",3
QALD,LC-QuAD,"0,7078","0,6370","0,6044","0,7078","0,5502","158,1254",0,"0,0197","0,0237","0,0374","0,0197",1
QALD,LC-QuAD+CogComp,"0,8057","0,7845","0,8291","0,8057","0,5392","447,6180",0,"0,0204","0,0234","0,0598","0,0204",2
QALD,LC-QuAD+CogComp+SimpleQuestions,"0,7915","0,7620","0,7843","0,7915","0,5314","3679,8196",0,"0,0357","0,0385","0,0452","0,0357",3
QALD,LC-QuAD+CogComp+WebQuestions,"0,7972","0,7784","0,8356","0,7972","0,5414","679,8727",0,"0,0192","0,0173","0,0534","0,0192",3
QALD,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8028","0,7819","0,8095","0,8028","0,5336","3926,4067",0,"0,0294","0,0214","0,0413","0,0294",4
QALD,LC-QuAD+QALD,"0,8738","0,8594","0,8674","0,8738","0,5299","189,2148",1,"0,0105","0,0142","0,0115","0,0105",2
QALD,LC-QuAD+QALD+CogComp,"0,8567","0,8346","0,8932","0,8567","0,5351","477,5378",1,"0,0059","0,0093","0,0059","0,0059",3
QALD,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8709","0,8598","0,9141","0,8709","0,5334","3722,5693",1,"0,0248","0,0221","0,0097","0,0248",4
QALD,LC-QuAD+QALD+CogComp+WebQuestions,"0,8809","0,8649","0,9037","0,8809","0,5498","713,0478",1,"0,0177","0,0238","0,0392","0,0177",4
QALD,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8709","0,8495","0,8986","0,8709","0,5449","3946,8700",1,"0,0092","0,0044","0,0305","0,0092",5
QALD,LC-QuAD+QALD+SimpleQuestions,"0,8780","0,8642","0,9202","0,8780","0,5346","3420,0159",1,"0,0136","0,0114","0,0095","0,0136",3
QALD,LC-QuAD+QALD+WebQuestions,"0,8837","0,8805","0,8850","0,8837","0,5395","420,1133",1,"0,0163","0,0160","0,0172","0,0163",3
QALD,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,8865","0,8866","0,9072","0,8865","0,5320","3660,0199",1,"0,0112","0,0070","0,0129","0,0112",4
QALD,LC-QuAD+SimpleQuestions,"0,7333","0,6881","0,6645","0,7333","0,5347","3384,1846",0,"0,0295","0,0262","0,0289","0,0295",2
QALD,LC-QuAD+WebQuestions,"0,8553","0,8555","0,8664","0,8553","0,5322","390,2389",0,"0,0063","0,0094","0,0111","0,0063",2
QALD,LC-QuAD+WebQuestions+SimpleQuestions,"0,8411","0,8390","0,8983","0,8411","0,5367","3640,6518",0,"0,0192","0,0192","0,0132","0,0192",3
QALD,QALD,"0,4993","0,4008","0,3655","0,4993","0,5346","37,3175",1,"0,2406","0,2916","0,3094","0,2406",1
QALD,QALD+CogComp,"0,8667","0,8569","0,8951","0,8667","0,5357","332,5695",1,"0,0237","0,0233","0,0319","0,0237",2
QALD,QALD+CogComp+SimpleQuestions,"0,8667","0,8629","0,8926","0,8667","0,5351","3584,8982",1,"0,0117","0,0147","0,0141","0,0117",3
QALD,QALD+CogComp+WebQuestions,"0,8681","0,8597","0,8918","0,8681","0,5345","565,2780",1,"0,0163","0,0144","0,0263","0,0163",3
QALD,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8596","0,8534","0,8796","0,8596","0,5382","3813,6595",1,"0,0078","0,0078","0,0204","0,0078",4
QALD,QALD+SimpleQuestions,"0,8709","0,8601","0,8829","0,8709","0,5342","3282,3438",1,"0,0136","0,0215","0,0162","0,0136",2
QALD,QALD+WebQuestions,"0,8667","0,8581","0,8630","0,8667","0,5377","274,3031",1,"0,0117","0,0163","0,0180","0,0117",2
QALD,QALD+WebQuestions+SimpleQuestions,"0,8851","0,8873","0,8976","0,8851","0,5339","3513,1459",1,"0,0136","0,0086","0,0062","0,0136",3
QALD,SimpleQuestions,"0,5092","0,4273","0,4364","0,5092","0,5311","3254,9363",0,"0,0750","0,0625","0,0106","0,0750",1
QALD,WebQuestions,"0,7730","0,7636","0,7759","0,7730","0,5491","244,8167",0,"0,0454","0,0518","0,0456","0,0454",1
QALD,WebQuestions+SimpleQuestions,"0,7660","0,7752","0,8156","0,7660","0,5432","3484,6806",0,"0,0554","0,0495","0,0346","0,0554",2
SimpleQuestions,CogComp,"0,6123","0,6726","0,8369","0,6123","66,2272","302,7313",0,"0,0141","0,0098","0,0102","0,0141",1
SimpleQuestions,CogComp+SimpleQuestions,"0,8686","0,8789","0,9093","0,8686","66,0551","3539,7991",1,"0,0305","0,0295","0,0216","0,0305",2
SimpleQuestions,CogComp+WebQuestions,"0,7463","0,7755","0,8390","0,7463","65,9804","535,0952",0,"0,0080","0,0055","0,0029","0,0080",2
SimpleQuestions,CogComp+WebQuestions+SimpleQuestions,"0,8380","0,8547","0,9047","0,8380","65,8164","3778,3870",1,"0,0569","0,0534","0,0216","0,0569",3
SimpleQuestions,LC-QuAD,"0,7437","0,7364","0,7575","0,7437","66,5787","158,1254",0,"0,0338","0,0456","0,0548","0,0338",1
SimpleQuestions,LC-QuAD+CogComp,"0,7234","0,7778","0,8820","0,7234","65,8541","447,6180",0,"0,0360","0,0224","0,0130","0,0360",2
SimpleQuestions,LC-QuAD+CogComp+SimpleQuestions,"0,9224","0,9245","0,9337","0,9224","65,9215","3679,8196",1,"0,0100","0,0088","0,0054","0,0100",3
SimpleQuestions,LC-QuAD+CogComp+WebQuestions,"0,7748","0,8036","0,8623","0,7748","65,9396","679,8727",0,"0,0077","0,0126","0,0121","0,0077",3
SimpleQuestions,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,9190","0,9219","0,9331","0,9190","65,6311","3926,4067",1,"0,0117","0,0116","0,0084","0,0117",4
SimpleQuestions,LC-QuAD+QALD,"0,8100","0,8295","0,8924","0,8100","66,0972","189,2148",0,"0,0163","0,0178","0,0087","0,0163",2
SimpleQuestions,LC-QuAD+QALD+CogComp,"0,7788","0,8372","0,9211","0,7788","65,7847","477,5378",0,"0,0293","0,0191","0,0084","0,0293",3
SimpleQuestions,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,9073","0,9106","0,9257","0,9073","65,9444","3722,5693",1,"0,0119","0,0111","0,0076","0,0119",4
SimpleQuestions,LC-QuAD+QALD+CogComp+WebQuestions,"0,7975","0,8116","0,8559","0,7975","66,0173","713,0478",0,"0,0060","0,0069","0,0113","0,0060",4
SimpleQuestions,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,9123","0,9148","0,9273","0,9123","65,5998","3946,8700",1,"0,0076","0,0072","0,0054","0,0076",5
SimpleQuestions,LC-QuAD+QALD+SimpleQuestions,"0,9086","0,9110","0,9257","0,9086","65,8313","3420,0159",1,"0,0170","0,0156","0,0086","0,0170",3
SimpleQuestions,LC-QuAD+QALD+WebQuestions,"0,8121","0,8122","0,8477","0,8121","65,8560","420,1133",0,"0,0062","0,0035","0,0143","0,0062",3
SimpleQuestions,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,9078","0,9109","0,9260","0,9078","65,9175","3660,0199",1,"0,0200","0,0188","0,0115","0,0200",4
SimpleQuestions,LC-QuAD+SimpleQuestions,"0,9001","0,9029","0,9226","0,9001","65,9041","3384,1846",1,"0,0259","0,0240","0,0131","0,0259",2
SimpleQuestions,LC-QuAD+WebQuestions,"0,8075","0,8166","0,8552","0,8075","65,9681","390,2389",0,"0,0053","0,0034","0,0075","0,0053",2
SimpleQuestions,LC-QuAD+WebQuestions+SimpleQuestions,"0,9287","0,9301","0,9379","0,9287","65,7372","3640,6518",1,"0,0133","0,0114","0,0069","0,0133",3
SimpleQuestions,QALD,"0,4067","0,3158","0,4007","0,4067","66,4130","37,3175",0,"0,1942","0,2368","0,2619","0,1942",1
SimpleQuestions,QALD+CogComp,"0,6624","0,7412","0,9036","0,6624","65,7216","332,5695",0,"0,0134","0,0124","0,0097","0,0134",2
SimpleQuestions,QALD+CogComp+SimpleQuestions,"0,8903","0,8975","0,9209","0,8903","66,1553","3584,8982",1,"0,0200","0,0188","0,0103","0,0200",3
SimpleQuestions,QALD+CogComp+WebQuestions,"0,7517","0,7832","0,8501","0,7517","65,9368","565,2780",0,"0,0101","0,0105","0,0132","0,0101",3
SimpleQuestions,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8765","0,8868","0,9158","0,8765","65,8485","3813,6595",1,"0,0285","0,0265","0,0138","0,0285",4
SimpleQuestions,QALD+SimpleQuestions,"0,9031","0,9032","0,9197","0,9031","65,9978","3282,3438",1,"0,0077","0,0079","0,0051","0,0077",2
SimpleQuestions,QALD+WebQuestions,"0,7939","0,8005","0,8330","0,7939","65,8857","274,3031",0,"0,0065","0,0036","0,0079","0,0065",2
SimpleQuestions,QALD+WebQuestions+SimpleQuestions,"0,9052","0,9093","0,9253","0,9052","66,0850","3513,1459",1,"0,0117","0,0113","0,0062","0,0117",3
SimpleQuestions,SimpleQuestions,"0,8687","0,8664","0,9072","0,8687","66,1245","3254,9363",1,"0,0614","0,0642","0,0259","0,0614",1
SimpleQuestions,WebQuestions,"0,7950","0,7953","0,8152","0,7950","66,3733","244,8167",0,"0,0101","0,0132","0,0180","0,0101",1
SimpleQuestions,WebQuestions+SimpleQuestions,"0,8645","0,8699","0,9077","0,8645","65,9085","3484,6806",1,"0,0279","0,0276","0,0107","0,0279",2
WebQuestions,CogComp,"0,4953","0,5503","0,7618","0,4953","10,2230","302,7313",0,"0,0147","0,0098","0,0067","0,0147",1
WebQuestions,CogComp+SimpleQuestions,"0,6679","0,6845","0,7618","0,6679","10,1997","3539,7991",0,"0,0419","0,0364","0,0208","0,0419",2
WebQuestions,CogComp+WebQuestions,"0,9181","0,9183","0,9221","0,9181","10,2143","535,0952",1,"0,0062","0,0054","0,0050","0,0062",2
WebQuestions,CogComp+WebQuestions+SimpleQuestions,"0,8514","0,8590","0,8874","0,8514","10,2100","3778,3870",1,"0,0341","0,0303","0,0144","0,0341",3
WebQuestions,LC-QuAD,"0,6082","0,5748","0,5765","0,6082","10,3339","158,1254",0,"0,0447","0,0533","0,0650","0,0447",1
WebQuestions,LC-QuAD+CogComp,"0,6105","0,6674","0,7812","0,6105","10,1838","447,6180",0,"0,0500","0,0358","0,0143","0,0500",2
WebQuestions,LC-QuAD+CogComp+SimpleQuestions,"0,7124","0,6972","0,7550","0,7124","10,1940","3679,8196",0,"0,0341","0,0311","0,0192","0,0341",3
WebQuestions,LC-QuAD+CogComp+WebQuestions,"0,9149","0,9159","0,9204","0,9149","10,1993","679,8727",1,"0,0044","0,0045","0,0052","0,0044",3
WebQuestions,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8781","0,8831","0,9034","0,8781","10,1801","3926,4067",1,"0,0176","0,0167","0,0100","0,0176",4
WebQuestions,LC-QuAD+QALD,"0,7329","0,7333","0,8107","0,7329","10,2199","189,2148",0,"0,0095","0,0107","0,0256","0,0095",2
WebQuestions,LC-QuAD+QALD+CogComp,"0,6141","0,6690","0,7900","0,6141","10,1974","477,5378",0,"0,0360","0,0309","0,0047","0,0360",3
WebQuestions,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,7424","0,7270","0,7598","0,7424","10,1973","3722,5693",0,"0,0247","0,0266","0,0162","0,0247",4
WebQuestions,LC-QuAD+QALD+CogComp+WebQuestions,"0,9130","0,9134","0,9175","0,9130","10,3239","713,0478",1,"0,0060","0,0056","0,0045","0,0060",4
WebQuestions,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8843","0,8861","0,9043","0,8843","10,3426","3946,8700",1,"0,0150","0,0174","0,0119","0,0150",5
WebQuestions,LC-QuAD+QALD+SimpleQuestions,"0,7276","0,7139","0,7722","0,7276","10,1850","3420,0159",0,"0,0173","0,0134","0,0140","0,0173",3
WebQuestions,LC-QuAD+QALD+WebQuestions,"0,9158","0,9163","0,9208","0,9158","10,2347","420,1133",1,"0,0049","0,0052","0,0046","0,0049",3
WebQuestions,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,8961","0,8999","0,9151","0,8961","10,2046","3660,0199",1,"0,0087","0,0078","0,0020","0,0087",4
WebQuestions,LC-QuAD+SimpleQuestions,"0,6810","0,6508","0,6850","0,6810","10,2023","3384,1846",0,"0,0098","0,0153","0,0229","0,0098",2
WebQuestions,LC-QuAD+WebQuestions,"0,9169","0,9182","0,9229","0,9169","10,1903","390,2389",1,"0,0061","0,0058","0,0043","0,0061",2
WebQuestions,LC-QuAD+WebQuestions+SimpleQuestions,"0,8897","0,8951","0,9139","0,8897","10,1944","3640,6518",1,"0,0088","0,0054","0,0037","0,0088",3
WebQuestions,QALD,"0,4126","0,3204","0,3261","0,4126","10,3583","37,3175",0,"0,1508","0,2161","0,2631","0,1508",1
WebQuestions,QALD+CogComp,"0,5226","0,5888","0,8052","0,5226","10,1615","332,5695",0,"0,0069","0,0090","0,0065","0,0069",2
WebQuestions,QALD+CogComp+SimpleQuestions,"0,7201","0,7272","0,7740","0,7201","10,2514","3584,8982",0,"0,0287","0,0231","0,0177","0,0287",3
WebQuestions,QALD+CogComp+WebQuestions,"0,9183","0,9180","0,9218","0,9183","10,1822","565,2780",1,"0,0038","0,0033","0,0024","0,0038",3
WebQuestions,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8666","0,8721","0,8920","0,8666","10,1932","3813,6595",1,"0,0191","0,0206","0,0170","0,0191",4
WebQuestions,QALD+SimpleQuestions,"0,7139","0,7000","0,7777","0,7139","10,2140","3282,3438",0,"0,0171","0,0194","0,0127","0,0171",2
WebQuestions,QALD+WebQuestions,"0,9218","0,9221","0,9257","0,9218","10,2241","274,3031",1,"0,0032","0,0027","0,0025","0,0032",2
WebQuestions,QALD+WebQuestions+SimpleQuestions,"0,9108","0,9117","0,9159","0,9108","10,2012","3513,1459",1,"0,0034","0,0020","0,0018","0,0034",3
WebQuestions,SimpleQuestions,"0,6119","0,5531","0,6121","0,6119","10,2535","3254,9363",0,"0,0655","0,0654","0,0116","0,0655",1
WebQuestions,WebQuestions,"0,9213","0,9216","0,9254","0,9213","10,4557","244,8167",1,"0,0030","0,0029","0,0027","0,0030",1
WebQuestions,WebQuestions+SimpleQuestions,"0,9126","0,9139","0,9195","0,9126","10,2208","3484,6806",1,"0,0072","0,0070","0,0057","0,0072",2
,,"0,7781","0,7694","0,8012","0,7781","16,9880","2045,1699",,"0,0227","0,0235","0,0232","0,0227",1
