train,test,value,,,
LC-QuAD+CogComp,QALD,"0,265",,,
LC-QuAD+CogComp+SimpleQuestions,QALD,"0,595",,,
LC-QuAD+CogComp+WebQuestions,QALD,"0,163",,,
LC-QuAD+CogComp+WebQuestions+SimpleQuestions,QALD,"0,529",,,
LC-QuAD+QALD,QALD,"0,689",,,
LC-QuAD+QALD+CogComp,QALD,"0,242",,,
LC-QuAD+QALD+CogComp+SimpleQuestions,QALD,"0,582",,,
LC-QuAD+QALD+CogComp+WebQuestions,QALD,"0,159",,,
LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,QALD,"0,520",,,
LC-QuAD+QALD+SimpleQuestions,QALD,"1,187",,,
LC-QuAD+QALD+WebQuestions,QALD,"0,258",,,
LC-QuAD+QALD+WebQuestions+SimpleQuestions,QALD,"0,831",,,
LC-QuAD+SimpleQuestions,QALD,"3,704",,,
LC-QuAD+WebQuestions,QALD,"0,267",,,
LC-QuAD+WebQuestions+SimpleQuestions,QALD,"0,857",,,
QALD,QALD,"0,407",,,
QALD+CogComp,QALD,"0,275",,,
QALD+CogComp+SimpleQuestions,QALD,"0,675",,,
QALD+CogComp+WebQuestions,QALD,"0,176",,,
QALD+CogComp+WebQuestions+SimpleQuestions,QALD,"0,613",,,
QALD+SimpleQuestions,QALD,"1,627",,,
QALD+WebQuestions,QALD,"0,380",,,
QALD+WebQuestions+SimpleQuestions,QALD,"1,145",,,
SimpleQuestions,QALD,"11,630",,,
WebQuestions,QALD,"1,408",,,
WebQuestions+SimpleQuestions,QALD,"2,133",,,
CogComp,SimpleQuestions,"1,432",,,
CogComp+SimpleQuestions,SimpleQuestions,"0,045",,,
CogComp+WebQuestions,SimpleQuestions,"0,536",,,
CogComp+WebQuestions+SimpleQuestions,SimpleQuestions,"0,053",,,
LC-QuAD,SimpleQuestions,"1,644",,,
LC-QuAD+CogComp,SimpleQuestions,"0,930",,,
LC-QuAD+CogComp+SimpleQuestions,SimpleQuestions,"0,063",,,
LC-QuAD+CogComp+WebQuestions,SimpleQuestions,"0,569",,,
LC-QuAD+CogComp+WebQuestions+SimpleQuestions,SimpleQuestions,"0,070",,,
LC-QuAD+QALD,SimpleQuestions,"1,500",,,
LC-QuAD+QALD+CogComp,SimpleQuestions,"0,877",,,
LC-QuAD+QALD+CogComp+SimpleQuestions,SimpleQuestions,"0,064",,,
LC-QuAD+QALD+CogComp+WebQuestions,SimpleQuestions,"0,561",,,
LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,SimpleQuestions,"0,071",,,
LC-QuAD+QALD+SimpleQuestions,SimpleQuestions,"0,023",,,
LC-QuAD+QALD+WebQuestions,SimpleQuestions,"0,395",,,
LC-QuAD+QALD+WebQuestions+SimpleQuestions,SimpleQuestions,"0,033",,,
LC-QuAD+SimpleQuestions,SimpleQuestions,"0,022",,,
LC-QuAD+WebQuestions,SimpleQuestions,"0,393",,,
LC-QuAD+WebQuestions+SimpleQuestions,SimpleQuestions,"0,032",,,
QALD,SimpleQuestions,"1,578",,,
QALD+CogComp,SimpleQuestions,"1,328",,,
QALD+CogComp+SimpleQuestions,SimpleQuestions,"0,046",,,
QALD+CogComp+WebQuestions,SimpleQuestions,"0,526",,,
QALD+CogComp+WebQuestions+SimpleQuestions,SimpleQuestions,"0,054",,,
QALD+SimpleQuestions,SimpleQuestions,"0,004",,,
QALD+WebQuestions,SimpleQuestions,"0,250",,,
QALD+WebQuestions+SimpleQuestions,SimpleQuestions,"0,014",,,
SimpleQuestions,SimpleQuestions,"0,002",,,
WebQuestions,SimpleQuestions,"0,235",,,
WebQuestions+SimpleQuestions,SimpleQuestions,"0,013",,,
CogComp,WebQuestions,"1,030",,,
CogComp+SimpleQuestions,WebQuestions,"0,400",,,
CogComp+WebQuestions,WebQuestions,"0,234",,,
CogComp+WebQuestions+SimpleQuestions,WebQuestions,"0,238",,,
LC-QuAD,WebQuestions,"3,774",,,
LC-QuAD+CogComp,WebQuestions,"0,753",,,
LC-QuAD+CogComp+SimpleQuestions,WebQuestions,"0,397",,,
LC-QuAD+CogComp+WebQuestions,WebQuestions,"0,300",,,
LC-QuAD+CogComp+WebQuestions+SimpleQuestions,WebQuestions,"0,247",,,
LC-QuAD+QALD,WebQuestions,"1,005",,,
LC-QuAD+QALD+CogComp,WebQuestions,"0,676",,,
LC-QuAD+QALD+CogComp+SimpleQuestions,WebQuestions,"0,385",,,
LC-QuAD+QALD+CogComp+WebQuestions,WebQuestions,"0,298",,,
LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,WebQuestions,"0,245",,,
LC-QuAD+QALD+SimpleQuestions,WebQuestions,"0,678",,,
LC-QuAD+QALD+WebQuestions,WebQuestions,"0,186",,,
LC-QuAD+QALD+WebQuestions+SimpleQuestions,WebQuestions,"0,329",,,
LC-QuAD+SimpleQuestions,WebQuestions,"3,062",,,
LC-QuAD+WebQuestions,WebQuestions,"0,179",,,
LC-QuAD+WebQuestions+SimpleQuestions,WebQuestions,"0,336",,,
QALD,WebQuestions,"0,774",,,
QALD+CogComp,WebQuestions,"0,899",,,
QALD+CogComp+SimpleQuestions,WebQuestions,"0,386",,,
QALD+CogComp+WebQuestions,WebQuestions,"0,234",,,
QALD+CogComp+WebQuestions+SimpleQuestions,WebQuestions,"0,236",,,
QALD+SimpleQuestions,WebQuestions,"0,742",,,
QALD+WebQuestions,WebQuestions,"0,025",,,
QALD+WebQuestions+SimpleQuestions,WebQuestions,"0,348",,,
SimpleQuestions,WebQuestions,"4,607",,,
WebQuestions,WebQuestions,"0,012",,,
WebQuestions+SimpleQuestions,WebQuestions,"0,370",,,
