question;class
where was princess leia raised?;LOC
what is the name of the pittsburgh steelers head coach?;HUMAN
when does canada's wonderland close?;HUMAN
what countries share borders with france?;LOC
what did patrick swayze sing?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'music.album']
what style of art is salvador dali?;COMPANY
what did george v die of?;HUMAN
what are the three major rivers in south america?;HUMAN
what other discoveries did isaac newton discover?;SCIENCE
who started pixar?;ENTITY
what political party was lincoln?;COMPANY
what would have happened if germany had won ww1?;['common.webpage']
what kind of government is china?;POLITICS
where is the nation of greece located?;LOC
what year was the new york blackout?;DATE-TIME
which countries have english as native language?;LOC
what position does rafael furcal play?;SPORTS
what are major exports of the usa?;['common.topic', 'base.webvideo.internet_video', 'base.webvideo.internet_video_episode', 'base.webvideo.topic']
where is whistler mountain located?;LOC
what currency do i need in cuba?;CURRENCY
what country did james cook come from?;LOC
what sport does rebecca adlington compete in?;HUMAN
when did the christchurch quake happened?;DATE-TIME
what other countries does canada trade with?;LOC
what to see in singapore at night?;LOC
what is james madison most famous for?;MOVIE
who did the maccabees revolted against?;LOC
where was the battle of antietam creek?;LOC
during what war did abraham lincoln serve as president?;DATE-TIME
where is she from shakira?;LOC
who plays captain kirk in 2009?;ENTITY
who did hera marry?;HUMAN
what type of guitar does kirk hammett play?;['common.topic', 'common.document', 'freebase.query']
what to do with kids in denver today?;LOC
what money does jamaica use?;CURRENCY
what year did william mckinley became president?;COMPANY
what timezone is colorado in right now?;DATE-TIME
who owns aston martin 2012?;HUMAN
what disease has jack osbourne got?;HUMAN
what do the islamic believe?;['base.skosbase.skos_concept']
what language they speak in taiwan?;LANG
who owns the toronto maple leafs?;COMPANY
what county is novato california in?;LOC
what are the basic beliefs of sikhism?;['common.topic', 'music.release_track']
who was liz taylor married too?;ENTITY
where was the ancient region of mesopotamia?;LOC
who was real housewives brandi married to?;HUMAN
when did the charlotte bobcats first play in the nba?;DATE-TIME
which city held the summer olympics twice?;['http://www.w3.org/2000/01/rdf-schema#Class']
who are the green bay packers owned by?;SPORTS
what inspired langston hughes to write poetry?;HUMAN
when was the last time the orioles had a winning season?;DATE-TIME
what does australia export?;ENTITY
where did henry knox die?;LOC
who was the queen of the iceni tribe?;HUMAN
who is married to garry trudeau?;ENTITY
where does norway get their oil?;LOC
what language do they speak in northern ireland?;LANG
what countries make up continental europe?;LOC
what did johnny crawford sing?;['common.topic', 'music.release_track']
what did abraham lincoln do before he was president?;HUMAN
what sport does sally pearson compete in?;HUMAN
where is atlanta texas located?;LOC
what movies did madonna appear in?;MOVIE
where does leland chapman live now?;LOC
where was the roman colosseum located?;LOC
what invention did henry ford invent?;ENTITY
what time zone is new york under?;DATE-TIME
when did mayans predict end of the world?;DATE-TIME
what is the name of the book hitler wrote while in prison?;LITERATURE
what albert einstein do for math?;HUMAN
where did bashar al assad study?;LOC
who plays lois lane in superman returns?;ENTITY
what did joseph lister do for science?;COMPANY
who uses new king james bible?;LITERATURE
what films did charlie chaplin direct?;MOVIE
who does lea michele dating in real life?;ENTITY
when did joe walsh leave the eagles?;DATE-TIME
who does billy beane work for now?;SPORTS
what subatomic particles did jj thomson discover?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what films have taylor lautner been in?;MOVIE
what country is the name natalie from?;LOC
who played the voice of aladdin?;HUMAN
what exactly did dale earnhardt die from?;HUMAN
what year did miami heat win the championship?;DATE-TIME
who was emperor diocletian?;POLITICS
who is chelsea kane?;HUMAN
who is darwin and what is his theory?;HUMAN
what did obama study in school?;LITERATURE
who is the new governor of oregon?;HUMAN
what continent is south africa part of?;LOC
who was michael jackson's best friend?;ENTITY
what movies has taylor lautner been in 2011?;MOVIE
what company did henry ford work for?;ENTITY
what happened to thomas cromwell's children?;HUMAN
where indian ocean is located?;LOC
what year did the orioles win 100 games?;DATE-TIME
who was mary's mother?;LOC
where is american express located?;ENTITY
what is the china money called?;['common.topic', 'base.type_ontology.agent', 'base.type_ontology.abstract', 'music.artist', 'music.musical_group']
where is the howard university located?;LOC
where did terrell owens get traded to?;ENTITY
what do catholics call their god?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what is the capital of alaska state?;LOC
what college did jeff corwin go to?;None
who speaks farsi?;LOC
who was neptune discovered by?;ENTITY
who were the major trade partners of russia?;LOC
where did nathaniel hawthorne die?;ENTITY
where did jack johnson go to high school?;COMPANY
who played maxie jones on general hospital?;HUMAN
what are buddhist gods?;None
who influenced wolfgang amadeus mozart?;HUMAN
when was the last dallas cowboys super bowl win?;TV
what language do they speak in iceland wikipedia?;LANG
when did the bali bombings occur?;DATE-TIME
what is the political system in south africa?;POLITICS
what is the currency in croatia 2012?;CURRENCY
where did joe montana go to high school?;LOC
where is the nation of palestine?;LOC
what are the greek titans?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'media_common.cataloged_instance', 'music.single']
what countries speak english primarily?;LOC
what states does the missouri river touch?;LOC
where was leonardo da vinci when he died?;LOC
what money do japanese use?;CURRENCY
what is the time zone in oklahoma city?;LOC
what kind of government did the mali empire have?;POLITICS
what is the religion of israel people?;LITERATURE
what is mount st helens?;['common.topic', 'base.tagit.organic_thing', 'base.tagasauris.organic_object', 'base.mapcentral.topic', 'base.landcover.code_category', 'base.landcover.topic', 'geography.geographical_feature_category', 'base.landcover.geographical_feature_category', 'geography.mountain_type']
what airport is closest to sandals grande in st lucia?;LOC
where does drew gordon play?;SPORTS
who was the first russian president?;HUMAN
what language does people in netherlands speak?;LANG
what type of language does china speak?;LANG
who is esther hicks?;HUMAN
what does michael vick do?;ENTITY
in which province is johannesburg?;LOC
where was john lennon standing when he was shot?;ENTITY
who voiced darth vader in revenge of the sith?;ENTITY
what type of art is henri matisse famous for?;COMPANY
what to do in laughlin nevada?;LOC
where to ski in andorra reviews?;LOC
who was louis riel?;HUMAN
what are the four nations of the uk?;LOC
who was judy garland married to?;HUMAN
what disease did helen keller?;MOVIE
what is the name of money in brazil?;CURRENCY
what year did lakers win championship?;DATE-TIME
what did coolidge believe with regards to the role of government?;LITERATURE
what type of government did england have during the glorious revolution?;POLITICS
who played dumbledore in the first movie?;ENTITY
where was greenpeace an international environmental organization founded?;LOC
what does roger that mean?;TV
what sports do they do in canada?;SPORTS
who was the first leader of the afl?;ENTITY
who is the arizona cardinals football coach?;ENTITY
where was the battle of waterloo held?;ENTITY
what was marilyn monroe known for?;HUMAN
what has barack obama done wrong?;None
which is faster amd dual core or intel dual core?;LITERATURE
who are the colorado eagles?;SPORTS
what time period did jesus live in?;DATE-TIME
where does lala anthony live?;LOC
what currency do they accept in kenya?;CURRENCY
what currency is used in switzerland 2012?;CURRENCY
what do they speak in iran?;LANG
who did ayrton senna drive for?;COMPANY
what happened to madonna childhood home?;DESCRIPTION
where was brad pitt born?;LOC
what position does vernon davis play?;SPORTS
where is the euro 2012 tournament?;LOC
what to see and do in malta?;LOC
where did dolly parton grew up?;LOC
what state is rick santorum from?;LOC
what countries does queen elizabeth ii reign?;POLITICS
what is jonas brothers names?;ENTITY
what art movements was henri matisse involved in?;ART
what are some famous tourist attractions in germany?;LOC
who's kobe bryant?;HUMAN
what countries did czechoslovakia become?;LOC
what songs did richard marx write?;MUSIC
what did ryan dunn died from?;HUMAN
what war was george washington associated with?;DATE-TIME
where tupac grew up?;LOC
where did al capone go to jail?;LOC
what type of music did richard wagner play?;MUSIC
what team did tim tebow play for in college?;SPORTS
what airport in paris?;LOC
what nationality was andy williams?;LOC
where did matthew brady live?;ENTITY
who are the broncos players?;HUMAN
where do most of the people live in japan?;LOC
in what country do they speak basque?;LOC
where is belgium at?;LOC
what government system does north korea have?;POLITICS
what did einstein do?;HUMAN
in what country is amsterdam?;LOC
what are the most common religions in the united states?;LITERATURE
what made jimi hendrix great?;['common.topic', 'common.document', 'freebase.query']
who did aaron rodgers play college football 4?;LOC
who plays nathan scott?;HUMAN
where is mount whitney?;LOC
who created the character of romeo?;ENTITY
what are some places to visit in new york?;LOC
what are the countries and capitals of central america?;LOC
what animal is on the western australian flag?;MOVIE
where did drew stanton play in college?;ENTITY
what is kareem abdul jabbar real name?;HUMAN
what countries fall in eastern europe?;LOC
who is the prime minister of ethiopia now?;HUMAN
when was mary poppins made?;DATE-TIME
what did king edward vi died from?;HUMAN
what did robert boyle accomplish?;['common.topic', 'symbols.namesake', 'user.coco.science.topic', 'user.coco.science.concepts_theories']
where is napoleon buried?;LOC
what language do people speak in iceland?;LANG
who sang at the mtv movie awards 2011?;HUMAN
what is the new york knicks starting lineup?;HUMAN
what to see and do in galway ireland?;LOC
what year did brandon roy get drafted?;DATE
what are the names of michael jackson children?;HUMAN
what book did niccolo machiavelli write?;['common.topic', 'music.release_track']
what religions are found in australia?;LITERATURE
what college did drew bledsoe?;LOC
where is the mtv headquarters?;ENTITY
what is guatemala current system of government?;POLITICS
what is anderson silva trained in?;HUMAN
what caused the asian currency crisis?;LITERATURE
which countries does russia border?;LOC
what did emily dickinson die of?;['base.wordnet.word']
who was king or queen after james i?;HUMAN
who played lois lane in superman 1?;ENTITY
where is st vincent de paul buried?;LOC
what language do fiji people speak?;LANG
what victoria beckham kids names?;None
where is new york in the map?;ENTITY
what did jimmy valvano die with?;HUMAN
what teams did charles barkley?;ENTITY
when was bill clinton elected president?;DATE-TIME
where did giovanni pierluigi da palestrina live?;LOC
when michael jordan got drafted?;DATE-TIME
what kind of money do the philippines use?;CURRENCY
who played dorothy in the wizard of oz movie?;ENTITY
who does marion barber play 4?;ENTITY
who is garrett pretty little liars?;HUMAN
what type of currency should i take to mexico?;CURRENCY
what did lucille ball die of?;HUMAN
where was the earthquake in chile 2010?;LOC
what style of art does andy warhol do?;COMPANY
what movies did ron howard do?;MOVIE
what county is charlotte north carolina?;ENTITY
who is michelle obama?;HUMAN
where did kate middleton go to prep school?;LOC
what type of government does nigeria have today?;POLITICS
what did hans oersted discovered in 1819?;ART
what kourtney kardashian name her daughter?;HUMAN
when did the lions last win a thanksgiving game?;DATE-TIME
what kind of government does chile have today?;POLITICS
where did richard arkwright die?;LOC
where does sam bradford play?;ENTITY
where did vietnam originate?;LOC
what was the first newspaper called in australia?;LITERATURE
where does the st louis rams play football?;LOC
what year did scottie pippen come into the nba?;COMPANY
where are you if you re in zagreb?;LOC
which country has won the cricket world cup the most times?;MOVIE
who does dominic monaghan play in lord of the rings?;MOVIE
which country does south africa border 2 the north?;LOC
who sang for pink floyd?;ENTITY
who played john connor friend in terminator 2?;ENTITY
what shows did henry winkler produce?;['common.topic', 'base.type_ontology.non_agent', 'music.release', 'media_common.creative_work']
what state was texaco gas founded?;LOC
what is the official language of china and 3 other dialects?;None
who is the senator of connecticut 2010?;HUMAN
what is brazil time zone?;DATE-TIME
who wrote john 3 16 in the bible?;LITERATURE
what do people in the czech republic speak?;LANG
who was tex beneke?;HUMAN
what are all the things thomas edison invented?;SCIENCE
what does albania speak?;LANG
what is shakira's nationality?;LOC
who is playing bilbo baggins?;HUMAN
what position did george washington serve in the constitutional convention?;POLITICS
where is the 2012 ncaa basketball tournament?;LITERATURE
what episode did kate leave ncis?;TV
what did farrah dad do?;HUMAN
where did matt barnes play?;SPORTS
where does the jordan river begin?;LOC
what college did lil wayne graduated from?;COMPANY
what years did the knicks win the championship?;DATE-TIME
what is the time zone in uk now?;TV
what does dustin diamond do now?;HUMAN
where are google headquarters located?;LOC
who is princess leia?;HUMAN
what was richard wright known for?;DESCRIPTION
where is the nascar hall of fame?;LOC
what was the name of wright brothers plane?;VEHICLE
where is located university of leeds?;LOC
who is gilbert gottfried snl?;HUMAN
what language do they denmark?;LANG
what team did grover cleveland alexander play for?;SPORTS
what was eli whitney nationality?;LOC
what was christiaan barnard famous for?;HUMAN
where was dwight d. eisenhower from?;LOC
what to do washington dc december?;LOC
what language is spoken in singapore?;LANG
who is sanjay gupta married too?;HUMAN
what movies did luke perry play in?;MOVIE
who wrote the book of st. john?;HUMAN
who is kobe bryant dad?;HUMAN
what continent does israel belong to?;LOC
where is thomas jefferson's home?;LOC
what is wentworth miller in?;TV
what is the capital of spain in 2010?;LOC
who killed harvey milk?;HUMAN
who owns nissan car manufacturer?;ENTITY
where is the university of west alabama located?;LOC
what did kenny everett die off?;ART
what main language do they speak in brazil?;LANG
how many australian states and territories?;LOC
what was manchester united first name?;SPORTS
who is the governor of hawaii now?;HUMAN
where did elvis presley started his career?;LOC
what happened vince mcmahon?;HUMAN
what jobs did harriet tubman have?;HUMAN
where does unesco operate?;LOC
where in the bible does it talk about david?;LOC
what does amanda seyfried play in?;ENTITY
what language do people speak in iran?;LANG
what is the jurisdiction of the us supreme court?;LOC
who is the leader of japan?;HUMAN
what time zone is the uk in right now?;TV
what instrument does bela fleck play?;ART
what position does ray allen?;SPORTS
where did chancellorsville battle take place?;LOC
what year was the cubs last world series?;DATE-TIME
who is playing hawkeye in the avengers movie?;ENTITY
who was king or queen after victoria?;HUMAN
what movie did rihanna play in?;MOVIE
when was the last time the oakland raiders were in the super bowl?;DATE-TIME
what religion was mary todd lincoln?;LITERATURE
who all has jason kidd played for?;SPORTS
where is headquarters of verizon?;LOC
where is the country of cyprus located?;LOC
who invented dell computer?;HUMAN
where did bob barker grow up?;LOC
what are king charles spaniels?;['common.topic', 'base.webvideo.internet_video', 'base.webvideo.internet_video_episode', 'base.webvideo.topic']
when was the chinese flag designed?;LANG
where did boston terriers come from?;LOC
what year did the new york mets start?;DATE
where did neil gaiman grow up?;LOC
what books did aristotle wrote?;LITERATURE
who runs the cornelia marie now?;HUMAN
where did john muir die?;LOC
where was selena gomez raised?;LOC
what countries are in the andean region?;LOC
when was the last time the san francisco giants won a world series?;DATE-TIME
what airport do you fly into for destin?;None
who played violet's mother in charlie and the chocolate factory?;SPORTS
what country was george washington from?;LOC
where does kyla ross live?;LOC
when did allen iverson get drafted?;DATE-TIME
what does jackson browne sing?;ENTITY
who plays ferris bueller's best friend?;HUMAN
what are the team colors for the pittsburgh steelers?;ART
what is the current government system in france?;POLITICS
what did roy rogers die of?;None
what did the new orleans hornets used to be?;SPORTS
what are the major religions practiced in israel?;LITERATURE
what does jamaica manufacturer?;FOOD
what years did andrew jackson run for president?;DATE
where did madoff live in nyc?;LOC
how many languages are there in the philippines?;LANG
what song is monifah famous for?;['common.topic', 'base.type_ontology.non_agent', 'music.release', 'media_common.creative_work']
who did heinrich himmler marry?;HUMAN
who was josh groban in crazy stupid love?;MOVIE
where is the columbia university located?;LOC
what team does kris humphries play for in 2011?;SPORTS
what did the scientist thomson discover?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
who was carrie underwood in soul surfer?;HUMAN
who plays lois griffin in family guy?;HUMAN
what did julian fellowes write?;TV
who does the islam worship?;RELIGION
who was married to lance armstrong?;HUMAN
what is venus named for?;LITERATURE
who did john fox coach for?;ENTITY
what years have the dodgers won the world series?;DATE-TIME
what did farrah have surgery for?;HUMAN
who was the leader of the soviet union in 1945?;HUMAN
who does john beck play for?;SPORTS
what movies have kenya moore produced?;MOVIE
where did robbie hummel go to high school?;COMPANY
what year did the cleveland indians go to the world series?;DATE-TIME
who owns the cleveland browns?;HUMAN
who does danneel harris play on one tree hill?;TV
what inspired michelangelo?;HUMAN
what battle did germany surrender in ww2?;LOC
what airport is closer to downtown houston?;LOC
where does liz mcclarnon live?;LOC
what city is fc schalke 04 in?;LOC
what system of government is used in south korea?;POLITICS
what airport is close to daytona beach florida?;LOC
what was omar epps first movie?;ENTITY
who did the baltimore ravens draft in 2011?;HUMAN
who won the governor election in puerto rico?;HUMAN
what group is aubrey o'day in?;ENTITY
what college did joe namath go to?;LOC
what wild animals live in colorado?;None
where is eu parliament?;LOC
where was president lyndon johnson from?;LOC
what did wagner compose?;COMPANY
what language did jewish people speak?;LANG
what years did barry bonds play?;DATE-TIME
who played emma frost?;ENTITY
what does the mayan calendar say about 2012?;LITERATURE
what clubs has peter crouch played for?;ENTITY
what team does lamar odom play for 2011?;SPORTS
what highschool did tom brady go to?;None
who owns skywest?;COMPANY
who did michael jordan marry?;HUMAN
what has mario lopez been in?;MOVIE
where do logan browning live?;LOC
when did mcdonalds officially open?;DATE-TIME
what team does terrell owens play for this year?;SPORTS
who did jeremy lin sign with?;ENTITY
who will sponsor kevin harvick in 2011?;COMPANY
where adidas originate?;LOC
what is 2pm est in philippines?;None
where are the pyramids of giza located?;LOC
when does sally pearson race tonight?;SPORTS
who were demeter's brothers and sisters?;HUMAN
what date did the san francisco giants win the world series?;DATE-TIME
what province is canada's capital located in?;LOC
on which continent is the usa located?;LOC
where is singapore on a world map?;LOC
what is the main language of israel?;LANG
what college did kerry collins?;LOC
what did bob ross die of?;['user.benvvalk.default_domain.moby_output_descriptor']
who was king hussein?;POLITICS
what are all the songs nicki minaj is in?;['common.topic', 'music.release_track']
what groups was hitler involved in?;COMPANY
what college did magic johnson go to?;ENTITY
what to see in chicago downtown?;LOC
what kind of money does the philippines use?;CURRENCY
what did george eastman make?;SCIENCE
what movies has billy burke been in?;MOVIE
who were ulysses s grant and robert e lee?;COMPANY
what is the last movie brittany murphy made?;COMPANY
with which countries does south africa trade?;LOC
what kind of language do they speak in china?;None
where does portuguese language come from?;LANG
what are the major religions in uk?;RELIGION
where did jennifer hudson go to school?;COMPANY
what type of guitar does john mayer play?;COMPANY
what continent is the usa located in?;LOC
what is the currency of spain called?;CURRENCY
which country is to the north of the united states of america?;LOC
what did mozart do to become famous?;['http://www.w3.org/2000/01/rdf-schema#Class']
where was avril lavigne born?;LOC
what are the 3 official languages of spain?;LANG
what type of government does australia currently have?;POLITICS
what county is tampa located in?;LOC
who has coached the minnesota vikings?;HUMAN
what movies have queen latifah played in?;MOVIE
what is the short name for stephanie?;['common.topic', 'base.givennames.given_name', 'base.givennames.topic']
what year did tim duncan enter the nba?;DATE
who played alf on the tv show?;HUMAN
who was the vice president when bill clinton was in office?;ENTITY
which countries does south africa export to?;LOC
who did george lucas get engaged to?;HUMAN
what movies does leo howard play in?;LOC
what instruments does john williams use?;MUSIC
what is the language spoken in brazil?;LANG
who was johnny cash's first wife?;HUMAN
where do tasmanian devils live?;LITERATURE
what a city in montana?;LOC
what was the milwaukee brewers old name?;SPORTS
what type of political system does russia have?;POLITICS
what is the political system in egypt?;POLITICS
what airport is in kauai hawaii?;LOC
where are vw cc made?;LOC
what team chris paul play for?;SPORTS
what currency should i take to jamaica?;CURRENCY
what is illinois state bird?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what three continents touch the atlantic ocean?;LOC
what language do u speak in egypt?;LANG
what teams has lionel messi played for?;SPORTS
what time zone is colorado springs co?;DATE-TIME
what school did sergio romo go to?;LOC
who did adam sandler married?;HUMAN
when did the name jehovah first appear?;LITERATURE
what is the best island to visit in greece?;LOC
where did john howard live?;LOC
what music did beethoven composed?;MUSIC
what does the name rome mean?;ENTITY
what did george steinbrenner do?;ENTITY
who was hadrian and what did he do?;HUMAN
what influenced langston hughes to write?;HUMAN
where did pablo picasso die?;LOC
who was judy collins married to?;ENTITY
when was the last time the toronto maple leafs make the playoffs?;DATE-TIME
what do they speak in cambodia?;LANG
who is the prime minister of new zealand now?;MOVIE
what time is nebraska now?;DATE-TIME
what did nick carter sister died of?;MEDICINE
who is james dean?;HUMAN
who do roman catholics give authority to?;LITERATURE
where did pres. obama go to school?;LOC
who is nina dobrev playing in perks of being a wallflower?;MOVIE
when did moscow burn?;DATE-TIME
who is larry ellison oracle?;ENTITY
what is the zip code for fort stockton texas?;LOC
what teams drafted the morris twins?;SPORTS
what state does obama come from?;LOC
what is vanderbilt's mascot?;None
what did whitney houston die off?;['common.topic', 'music.release_track']
when was george w bush sworn in?;DATE-TIME
what are the airports in chicago?;LOC
what was van gogh famous for?;COMPANY
where did jane goodall go to school?;LOC
who won 2012 presidential election in france?;HUMAN
what did thomson discover with his cathode ray tube experiment?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
where did emily murphy go to school?;LOC
what are the major religions in russia?;LITERATURE
what do most nigerians speak?;LANG
what to do at fairfield ca?;LOC
where president nixon was born?;LOC
what currency does thailand accept?;CURRENCY
what else did eli whitney invent?;SCIENCE
what jobs did albert einstein have?;['http://www.w3.org/2000/01/rdf-schema#Property']
where to travel around sydney?;LOC
what are the names of michael jackson movies?;LITERATURE
what timezone is illinois on?;LOC
what is the currency in france?;CURRENCY
where is the head office of hsbc bank?;ENTITY
what is the currency in england 2012?;CURRENCY
where is spain exactly located?;LOC
what is the currency name of china?;CURRENCY
what movies did charlie hunnam play in?;MOVIE
what kind of government does italy have?;POLITICS
what year michael jordan came in the nba?;DATE
what year did florida marlins win the world series?;MOVIE
what movie did marlee matlin won an academy award for?;MOVIE
who is leann rimes with now?;HUMAN
what countries did queen elizabeth ii rule?;LOC
who played forrest gump as a kid?;HUMAN
where was the battle of vicksburg held?;LOC
what are the duggars kids names and ages?;HUMAN
