Number,question,Annotated Class,Manual Annotation,class,Manual Check,Remarks,Number of empty annotations: 1
32,what 5 countries border ethiopia?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
33,what 5 countries border romania?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
34,what 6 states border south dakota?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
35,what a city in montana?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
36,what age can a woman retire in australia?,Number,"Number (Integer, Float, Salary, Height)",COMPANY,,,
37,what airlines hub in phoenix?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
38,what airport do you fly into for clearwater florida?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
39,what airport do you fly into for destin?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",None,,,
40,what airport do you fly into maui?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
41,what airport do you fly into to get to cabo san lucas?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
42,what airport does southwest fly to in denver?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
43,what airport fly into miami?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
44,what airport in paris?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
45,what airport is close to daytona beach florida?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
46,what airport is close to scottsdale arizona?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
47,what airport is closer to downtown houston?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
48,what airport is closest to cancun?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",None,,,
49,what airport is closest to downtown toronto?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
50,what airport is closest to ithaca ny?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
51,what airport is closest to palm springs?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
52,what airport is closest to sandals grande in st lucia?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
53,what airport is in kauai hawaii?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
54,what airport to fly into to get to clearwater florida?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
55,what albert einstein do for math?,TopicalConcept,"TopicalConcept (AcademicSubject, CardinalDirection, Fashion, Genre, Ideology, MathematicalConcept, PhilosophicalConcept, PoliticalConcept, ScientificConcept, Standard, SystemOfLaw, Tax, Taxon, TheologicalConcept, Type)",HUMAN,,,
56,what albums did john frusciante play on?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",LITERATURE,,,
57,what all countries are in south america?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
58,what all did michael jackson own?,,REMOVE,LOC,,no info available in DBpedia,
59,what animal is on the western australian flag?,Species,"Species (Archaea, Bacteria, Eukaryote)",MOVIE,,,
60,what are 2 inventions benjamin franklin is credited with creating?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",LITERATURE,,,
61,what are all songs by taylor swift?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)","['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']",,,
62,what are all the countries in nato?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
63,what are all the inventions benjamin franklin made?,TopicalConcept,"TopicalConcept (AcademicSubject, CardinalDirection, Fashion, Genre, Ideology, MathematicalConcept, PhilosophicalConcept, PoliticalConcept, ScientificConcept, Standard, SystemOfLaw, Tax, Taxon, TheologicalConcept, Type)",LITERATURE,,,
64,what are all the movies channing tatum has been in?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",MOVIE,,,
65,what are all the names of harry potter?,Text,Text,MOVIE,,,
66,what are all the songs nicki minaj is in?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)","['common.topic', 'music.release_track']",,,
67,what are all the things thomas edison invented?,TopicalConcept,"TopicalConcept (AcademicSubject, CardinalDirection, Fashion, Genre, Ideology, MathematicalConcept, PhilosophicalConcept, PoliticalConcept, ScientificConcept, Standard, SystemOfLaw, Tax, Taxon, TheologicalConcept, Type)",SCIENCE,,,
68,what are american staffordshire terriers?,Species,"Species (Archaea, Bacteria, Eukaryote)","['common.topic', 'base.webvideo.internet_video', 'base.webvideo.internet_video_episode', 'base.webvideo.topic']",,,
69,what are buddhist gods?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",None,,,
70,what are countries in south asia?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
71,what are eu countries?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
72,what are five countries that border france?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
73,what are fun things to do in denver colorado?,Activity,"Activity (Game, Sales, Sport)",LOC,,,
74,what are fun things to do in philadelphia?,Activity,"Activity (Game, Sales, Sport)",LOC,,,
75,what are king charles spaniels?,Species,"Species (Archaea, Bacteria, Eukaryote)","['common.topic', 'base.webvideo.internet_video', 'base.webvideo.internet_video_episode', 'base.webvideo.topic']",,,
76,what are major exports of the usa?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)","['common.topic', 'base.webvideo.internet_video', 'base.webvideo.internet_video_episode', 'base.webvideo.topic']",,,
77,what are popular sports in spain?,Activity,"Activity (Game, Sales, Sport)",ENTITY,,,
78,what are portuguese people considered?,Language,Language (ProgrammingLanguage),"['type.lang', 'base.cldrinfo.langinfo']",,,
79,what are romney's sons names?,Text,Text,HUMAN,,,
80,what are shirley temple kids names?,Text,Text,HUMAN,,,
81,what are some famous tourist attractions in germany?,Activity,"Activity (Game, Sales, Sport)",LOC,,,
82,what are some important events in ancient egypt?,Event,"Event (Competition, LifeCycleEvent, NaturalEvent, SocietalEvent)",DATE-TIME,,,
83,what are some native american holidays?,Holiday,Holiday,ENTITY,,,
84,what are some of the awards taylor swift has won?,Award,"Award (Decoration, NobelPrize)",ENTITY,,,
85,what are some of the religions in australia?,,REMOVE,LITERATURE,,Religions do not have the same type in DBpedia,
86,what are some places to visit in barcelona?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
87,what are some places to visit in new york?,Activity,"Activity (Game, Sales, Sport)",LOC,,,
88,what are some sights to see in rome?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
89,what are spanish speaking countries and their capitals?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
90,what are the 2 conferences in the nfl?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",COMPANY,,,
91,what are the 3 official languages of spain?,Language,Language (ProgrammingLanguage),LANG,,,
92,what are the 5 countries in the united kingdom?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
93,what are the african nations?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
94,what are the airports in chicago?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
95,what are the basic beliefs of islam religion?,,REMOVE,"['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']",,owl:Thing,
96,what are the basic beliefs of sikhism?,,REMOVE,"['common.topic', 'music.release_track']",,owl:Thing,
97,what are the best hotels to stay in san francisco?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
98,what are the best things to do in san diego?,Activity,"Activity (Game, Sales, Sport)",LOC,,,
99,what are the biggest cities in illinois?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",ENTITY,,,
100,what are the countries and capitals of central america?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
101,what are the countries in the united kingdom?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,LOC,,
102,what are the different dialects of chinese?,Language,Language (ProgrammingLanguage),LANG,,,
103,what are the different sports in the philippines?,Activity,"Activity (Game, Sales, Sport)",SPORTS,,,
104,what are the duggars kids full names?,Text,Text,HUMAN,,,
105,what are the duggars kids names and ages?,,REMOVE,HUMAN,,two different types are expected,
106,what are the four nations of the uk?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
107,what are the four official languages of nigeria?,Language,Language (ProgrammingLanguage),LANG,,,
108,what are the gods of islam?,,REMOVE,"['type.content', 'common.image']",,Remove as in DBpedia the type is dbo:food,
109,what are the greek titans?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)","['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'media_common.cataloged_instance', 'music.single']",,,
110,what are the holidays of islam?,Holiday,Holiday,LITERATURE,,,
111,what are the kennedys?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",ENTITY,,,
112,what are the main imports and exports of afghanistan?,,REMOVE,LITERATURE,,not clear,
113,what are the main languages of nigeria?,Language,Language (ProgrammingLanguage),LANG,,,
114,what are the main languages spoken in spain?,Language,Language (ProgrammingLanguage),LANG,,,
115,what are the main sports in new zealand?,Activity,"Activity (Game, Sales, Sport)",SPORTS,,,
116,what are the major cities in france?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,LOC,,
117,what are the major languages of italy?,Language,Language (ProgrammingLanguage),LANG,,,
118,what are the major languages spoken in italy?,Language,Language (ProgrammingLanguage),LANG,,,
119,what are the major religions in russia?,,REMOVE,LITERATURE,,not clear (different types),
120,what are the major religions in uk?,EthnicGroup,EthnicGroup,RELIGION,,,
121,what are the major religions practiced in israel?,EthnicGroup,EthnicGroup,LITERATURE,,,
122,what are the most common religions in the united states?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",LITERATURE,,,
123,what are the mountains in peru called?,Text,Text,LOC,,,
124,what are the name of mitt romney sons?,Text,Text,HUMAN,,,
125,what are the names of all the countries in africa?,Text,Text,LOC,,,
126,what are the names of michael jackson children?,Text,Text,HUMAN,,,
127,what are the names of michael jackson movies?,Text,Text,LITERATURE,,,
128,what are the names of snoopy brothers and sisters?,Text,Text,"['common.topic', 'music.release_track']",,,
129,what are the names of walt disney kids?,Text,Text,HUMAN,PERSON,,
130,what are the natural resources in wisconsin?,ChemicalSubstance,"ChemicalSubstance (ChemicalCompound, ChemicalElement, Drug, Mineral)",DATE-TIME,,,
131,what are the new york giants home colors?,Colour,Colour,ENTITY,,,
132,what are the official languages in spain?,Language,Language (ProgrammingLanguage),LANG,,,
133,what are the official languages of jamaica?,Language,Language (ProgrammingLanguage),LANG,,,
134,what are the official languages of the dominican republic?,Language,Language (ProgrammingLanguage),LANG,,,
135,what are the places to see in dubai?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",LOC,,,
136,what are the primary languages of france?,Language,Language (ProgrammingLanguage),None,,,
137,what are the team colors for the pittsburgh steelers?,Colour,Colour,ART,,,
138,what are the three major rivers in south america?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",HUMAN,,,
139,what are the traditions in jamaica?,TopicalConcept,"TopicalConcept (AcademicSubject, CardinalDirection, Fashion, Genre, Ideology, MathematicalConcept, PhilosophicalConcept, PoliticalConcept, ScientificConcept, Standard, SystemOfLaw, Tax, Taxon, TheologicalConcept, Type)",HUMAN,,,
140,what are the two dialects of chinese?,Language,Language (ProgrammingLanguage),LANG,,,
